Family	Genome
Leishbuviridae	ssRNA(-)
Leisingerviridae	dsDNA
Liberviridae	ssDNA(+)
Lilleviridae	ssDNA(+)
Lilliviridae	dsDNA
Lindbergviridae	dsDNA
Lipothrixviridae	dsDNA
Lispiviridae	ssRNA(-)
Litenviridae	ssDNA(+)
Litilviridae	ssDNA(+)
Lomiviridae	dsDNA
Ludisviridae	dsDNA
Luriaviridae	dsDNA
Lutetiaviridae	dsDNA
Lutzviridae	dsDNA
Madisaviridae	dsDNA
Madridviridae	dsDNA
Mahapunaviridae	ssDNA(+/-)
Malacoherpesviridae	dsDNA
Mamonoviridae	dsDNA
Mariniviridae	dsDNA
Marnaviridae	ssRNA(+)
Marseilleviridae	dsDNA
Matonaviridae	ssRNA(+)
Matsushitaviridae	dsDNA
Maviroviridae	dsDNA
Mayoviridae	ssRNA(+)
Mazaviridae	ssDNA(+)
Mazoviaviridae	dsDNA
Medioniviridae	ssRNA(+)
Megabirnaviridae	dsRNA
Megatotiviridae	dsRNA
Mesomimiviridae	dsDNA
Mesoniviridae	ssRNA(+)
Mestraviridae	dsDNA
Mesyanzhinovviridae	dsDNA
Metaviridae	ssRNA-RT
Metaxyviridae	ssDNA(+)
Mimiviridae	dsDNA
Mitoviridae	ssRNA(+)
Molycolviridae	dsDNA
Monocitiviridae	dsRNA
Mononiviridae	ssRNA(+)
Mtkvariviridae	dsDNA
Mycoalphaviridae	ssRNA(+)
Mymonaviridae	ssRNA(-)
Mypoviridae	ssRNA(-)
Myriaviridae	ssRNA(-)
Nairoviridae	ssRNA(-)
Nanghoshaviridae	ssRNA(+)
Nanhypoviridae	ssRNA(+)
Nanicoviridae	dsDNA
Nanopleoviridae	dsDNA
Nanoviridae	ssDNA(+)
Naomviridae	dsDNA
Narnaviridae	ssRNA(+)
Naryaviridae	ssDNA(+); ssDNA(+/-)
Natareviridae	ssRNA(-)
Nenyaviridae	ssDNA(+)
Nimaviridae	dsDNA
Nipumfusiviridae	dsDNA; ssDNA
Nixviridae	dsDNA
Nodaviridae	ssRNA(+)
Noraviridae	ssRNA(+)
Nudiviridae	dsDNA
Nyamiviridae	ssRNA(-)
Obscuriviridae	ssDNA
Occultatumviridae	ssDNA(+)
Olifoviridae	ssRNA(+)
Omnilimnoviroviridae	dsDNA
Oomyviridae	ssDNA
Ootiviridae	dsRNA
Orlajensenviridae	dsDNA
Orpheoviridae	dsDNA
Orthoherpesviridae	dsDNA
Orthomyxoviridae	ssRNA(-)
Orthototiviridae	dsRNA
Osikeviridae	ssDNA(+)
Ourmiaviridae	ssRNA(+)
Ouroboviridae	ssDNA(+/-)
Ovaliviridae	dsDNA
Pachyviridae	dsDNA
Pamosaviridae	ssRNA(+)
Papillomaviridae	dsDNA
Parahypoviridae	ssRNA(+)
Paramyxoviridae	ssRNA(-)
Parnassusviridae	dsDNA
Partitiviridae	dsRNA
Parvoviridae	ssDNA; ssDNA(+/-)
Paulinoviridae	ssDNA(+)
Pecoviridae	ssDNA(+/-)
Peduoviridae	dsDNA
Pequenoviridae	ssDNA(+)
Peribunyaviridae	ssRNA(-)
Permutotetraviridae	ssRNA(+)
Pervagoviridae	dsDNA
Pestiviridae	ssRNA(+)
Phasmaviridae	ssRNA(-)
Phenuiviridae	ssRNA(-); ssRNA(+/-)
Phlegiviridae	dsRNA
Phycodnaviridae	dsDNA
Phypoliviridae	dsDNA
Piccoloviridae	ssDNA(+)
Pichoviridae	ssDNA(+)
Picobirnaviridae	dsRNA
Picornaviridae	ssRNA(+)
Pieniviridae	ssDNA(+)
Pigerviridae	dsDNA
Pikkuviridae	ssDNA(+)
Pistolviridae	dsRNA
Pithoviridae	dsDNA
Piticuviridae	ssDNA(+)
Pituviridae	dsDNA
Plasmaviridae	dsDNA
Plectroviridae	ssDNA(+)
Pleolipoviridae	ssDNA; ssDNA(+/-); dsDNA
Pneumoviridae	ssRNA(-)
Polycipiviridae	ssRNA(+)
Polymycoviridae	dsRNA
Polyomaviridae	dsDNA
Pootjesviridae	dsDNA
Portogloboviridae	dsDNA
Potyliviridae	ssRNA(+)
Potyviridae	ssRNA(+)
Poxviridae	dsDNA
Pseudototiviridae	dsRNA
Pseudoviridae	ssRNA-RT
Pungoviridae	dsDNA
Pyrstoviridae	dsDNA
Qinviridae	ssRNA(-)
Quadriviridae	dsRNA
Quambiviridae	ssRNA(+/-)
Quasboviridae	dsDNA
Redondoviridae	ssDNA(+/-)
Retroviridae	ssRNA-RT
Rhabdoviridae	ssRNA(-)
Rhizouliviridae	ssRNA(+)
Roniviridae	ssRNA(+)
Rountreeviridae	dsDNA
Rudiviridae	dsDNA
Ruviroviridae	dsDNA
Saffermanviridae	dsDNA
Saladoviridae	dsDNA
Salasmaviridae	dsDNA
Saparoviridae	dsDNA
Sarkviridae	dsDNA
Sarthroviridae	ssRNA(+)
Satyavativiridae	dsDNA
Schitoviridae	dsDNA
Schizomimiviridae	dsDNA
Seadebiviridae	dsDNA
Secoviridae	ssRNA(+)
Sedoreoviridae	dsRNA
Shortaselviridae	dsDNA
Simuloviridae	dsDNA
Sinhaliviridae	ssRNA(+)
Skuldviridae	dsDNA
Smacoviridae	ssDNA(+/-)
Soleiviridae	dsDNA
Solemoviridae	ssRNA(+)
Solinviviridae	ssRNA(+)
Solspiviridae	ssRNA(+)
Soropartitiviridae	dsRNA
Speroviridae	dsDNA
Sphaerolipoviridae	dsDNA
Spiciviridae	dsRNA
Spinareoviridae	dsRNA
Spiraviridae	ssDNA(+)
Splipalmiviridae	ssRNA(+)
Sputniviroviridae	dsDNA
Stackebrandtviridae	dsDNA
Stanwilliamsviridae	dsDNA
Steigviridae	dsDNA
Steitzviridae	ssRNA(+)
Straboviridae	dsDNA
Sukshmaviridae	ssDNA(+)
Sunviridae	ssRNA(-)
Suolaviridae	dsDNA
Suoliviridae	dsDNA
Tainaviridae	ssDNA(+)
Tectiviridae	dsDNA
Tenebraviridae	dsDNA
Thalassapleoviridae	dsDNA
Thaspiviridae	dsDNA
Tinaiviridae	dsDNA
Tobaliviridae	ssRNA(+)
Tobaniviridae	ssRNA(+)
Togaviridae	ssRNA(+)
Tombusviridae	ssRNA(+)
Tomosaviridae	ssRNA(+)
Tonesaviridae	ssRNA(+)
Tosoviridae	ssRNA(+/-)
Tospoviridae	ssRNA(+/-)
Toyamaviridae	dsDNA
Trautnerviridae	dsDNA
Trimbiviridae	ssRNA(+/-)
Tripviridae	dsDNA
Tristromaviridae	dsDNA
Tulasviridae	ssRNA(+/-)
Turriviridae	dsDNA
Tymoviridae	ssRNA(+)
Umezonoviridae	dsDNA
Unambiviridae	ssRNA(+/-)
Ungulaviridae	dsDNA
Usuviridae	dsDNA
Vandenendeviridae	dsDNA
